Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
1,8,1,5,2,1,4,2,1,49.53
1,8,1,2,2,1,2,4,4,68.0
1,8,2,1,2,1,2,4,4,50.0
0,8,0,0,0,0,2,2,2,80.5
1,8,2,3,2,1,2,2,2,72.1
1,8,2,3,3,1,1,2,3,40.0
1,8,2,2,1,1,2,3,3,80.33
0,8,2,3,3,1,2,0,3,90.0
1,8,3,1,3,1,2,4,4,92.5
0,8,1,5,1,1,2,4,3,92.5
1,8,3,1,4,1,4,5,4,60.0
1,8,2,5,3,1,3,4,5,56.5
1,8,4,2,4,1,2,4,4,95.0
0,8,0,0,0,0,1,4,2,92.0
0,8,0,0,0,0,2,3,4,75.0
1,8,2,3,2,1,2,2,3,65.0
1,8,1,5,1,1,1,2,1,80.0
0,8,3,5,1,1,1,4,2,90.0
0,8,0,0,0,0,1,3,4,95.0
1,8,0,0,0,0,1,4,2,80.0
0,8,2,5,1,1,2,3,1,70.0
1,8,2,3,2,1,1,3,3,55.0
0,8,1,5,1,1,1,4,3,72.5
1,8,1,1,4,1,1,3,3,55.0
0,8,0,0,0,0,1,4,4,96.0
0,8,0,0,0,0,2,4,4,72.0
0,8,0,0,0,0,2,3,2,80.0
0,8,3,2,1,1,3,5,4,80.0
0,8,2,5,1,1,2,4,6,100.0
0,8,0,0,0,0,1,2,2,75.0
1,8,0,0,0,0,3,3,4,94.5
1,8,0,0,0,0,1,3,1,60.0
0,8,0,0,0,0,1,2,4,90.0
0,8,0,0,0,0,1,3,2,50.0
1,8,0,0,0,0,1,3,4,75.0
1,8,0,0,0,0,1,2,2,60.0
1,8,0,0,0,0,2,3,4,80.0
1,8,0,0,0,0,2,4,2,50.0
0,8,0,0,0,0,1,5,2,85.0
0,8,0,0,0,0,2,2,4,89.0
0,8,0,0,0,0,2,3,2,85.0
0,8,1,5,1,1,1,3,2,80.0
0,8,0,0,0,0,2,3,3,95.0
1,8,1,1,1,1,4,4,4,70.0
0,8,3,1,3,1,3,2,3,65.0
0,8,0,0,0,0,1,3,2,45.0
1,8,0,0,0,0,2,4,5,60.0
1,8,3,4,4,1,1,2,3,85.0
0,8,0,0,0,0,3,3,3,75.6
1,8,2,1,3,1,3,5,5,79.8
1,8,2,5,2,1,2,2,4,70.0
0,8,0,0,0,0,1,2,2,88.0
1,8,0,0,0,0,2,2,2,74.0
1,8,2,5,1,1,3,4,4,80.0
0,8,2,3,2,1,2,3,2,60.0
0,8,0,0,0,0,1,1,1,75.0
0,8,0,0,0,0,1,3,4,85.0
1,8,3,1,3,1,2,5,5,79.0
1,8,3,1,4,1,2,6,4,90.0
0,8,2,4,3,1,2,4,3,87.0
1,8,1,1,1,1,1,5,2,55.0
0,8,0,0,0,0,3,3,4,98.0
1,8,1,4,1,1,2,5,4,80.0
1,8,0,0,0,0,1,4,2,67.0
1,8,2,1,4,1,2,4,3,75.0
1,8,1,1,1,1,2,2,3,75.0
1,8,3,3,2,1,1,2,3,90.0
0,8,2,2,2,1,2,4,3,67.5
1,9,0,0,0,0,0,4,3,100.0
0,9,0,0,0,0,0,4,4,80.0
1,9,0,0,0,0,0,6,6,100.0
